"OA","Age_0_17","Age_18_29","Age_30_44","Age_45_64","Age_65_up","united_kingdom","ireland","other_eu","other_countries","no_cars","one_car","two_cars","three_and_more_cars","employed","unemployed","retired","white","asian","black_african","other_arab","all_english","notall_english","kids_english","no_english","single","married","divorced","lowest_quali","highest_quali","christian","jewish","muslim","no_religion","owned","shared","social_rent","private_rent","rent_free","males","females"
"E00175089",9.2,22.7,37.5,23.1,7.7,36.5,1.4,20.2,41.8,37,48,11.8,3.2,65.6,3.8,7.1,75.5,15.4,3.4,2.9,59.1,11,2.4,27.6,45,41.8,9.5,4.8,68.3,55.8,2.4,6.7,18.8,41.7,0.8,4.7,51.2,1.6,48.1,51.9
"E00175090",13.8,16.4,39.2,21.9,8.4,28.3,3.8,27.4,40.5,60.4,30.2,7.2,2.1,71.6,2.5,7,81.4,8.4,1.3,3.4,58.3,8.6,1.4,31.7,56.8,34.5,5.3,1.5,64.1,61.2,2.1,1.7,18.6,30.2,0,5,64,0.7,49.4,50.6
"E00175091",6.1,6.7,19.6,27.6,40,50.2,3.1,14.7,32,66.1,25.5,7.3,1.2,51.2,1.8,25.9,81.3,9.8,2.7,0.9,77,3,0,20,37.9,28.4,17.1,1.9,41.2,69.8,2.2,3.1,15.1,34.5,0.6,45.5,17,2.4,50.7,49.3
"E00175092",20.7,18.5,22.9,21.6,16.3,57.3,0.9,7,34.8,54.4,40.8,4.9,0,57.2,7.2,9,58.1,12.8,9.7,6.6,67,8.7,6.8,17.5,47.6,33.5,6.5,10.3,34.1,54.6,0,19.8,18.9,35.9,1,43.7,17.5,1.9,46.3,53.7
"E00175093",21.6,22.8,22,23.4,10.3,57.1,3.7,5.5,33.7,70,25,5,0,56.2,9.5,6.7,50.2,11,17.9,6.6,73.3,10,3.3,13.3,53.6,35,7.3,13.6,25.9,47.3,0,28.9,15.4,8.3,0.8,66.7,20,4.2,46.9,53.1
"E00175094",10.6,28.9,39,5.9,15.5,26.7,2.7,19.3,51.3,90.8,8.3,0.9,0,71.7,6.2,2.8,54.5,17.1,10.2,7.5,51.4,15.6,0,33,51.5,33.7,4.7,6.5,39.1,54.5,0,13.4,21.4,0.9,2.8,23.9,72.5,0,47.1,52.9
"E00175095",42.2,9.9,30.4,15,2.6,56.2,0.6,3.5,39.6,50,44.4,5.6,0,51.8,9.8,4.1,24.3,12.5,34.8,9.9,57.4,13.9,15.7,13,43.5,40.9,9.3,14.5,25.4,39.9,0,43.5,8.6,8.3,14.8,72.2,4.6,0,46,54
"E00175096",18.5,28.2,17.5,25.4,10.5,47.9,3.2,14.3,34.6,70.5,21.2,5.3,3.1,37.8,9.6,5.6,48.6,16.2,13.3,5.7,59.1,18.9,1.5,20.5,50.9,25.7,13.8,11.5,27.5,44.8,0,28.6,13,10.6,0,64.4,22,3,44.1,55.9
"E00175097",3.5,80.6,9.5,3.9,2.6,48.6,0,20.1,31.2,54.3,41.4,4.3,0,14.3,0.7,1.5,66,27.4,2.3,0.5,64.3,10,2.9,22.9,88.5,6.6,3.2,1.8,15.8,33.3,1.6,4,45.7,34.3,0,8.6,51.4,5.7,61.8,38.2
"E00175098",5.2,66.8,16.8,6.8,4.2,54.2,0,15.8,30,57.1,40.8,2,0,26.6,1.7,2.3,68.9,23.7,1.6,2.1,75.5,8.2,0,16.3,80.7,14.9,2.2,1.1,31.5,37.9,1.1,5.3,39.5,40.8,0,4.1,55.1,0,59.5,40.5
"E00175099",25.1,13.5,30.3,27.1,3.9,52.3,1.3,7.1,39.4,55.7,42.9,1.4,0,57,7.4,4.1,47.7,14.2,9.7,12.3,60,18.6,5.7,15.7,50.4,31.7,14.6,13,47.2,52.3,0.6,26.5,11,10,18.6,51.4,20,0,52.3,47.7
"E00175100",27.6,19,28.7,19.4,5.5,40.4,0.7,9.9,49,46.3,48.1,5.2,0.4,53.8,6.5,6,38.2,19.9,6,21,45.5,12.6,6.9,35.1,36.5,46,8.5,7.8,54.3,31.1,0.7,38.6,13.9,25.5,7.4,17.3,45.9,3.9,47.3,52.7
"E00175101",9.7,12.6,24.4,33.6,19.7,58.4,1.3,7.1,33.2,74.7,23.5,1.8,0,49,3.1,17.7,64.3,11.3,8.4,8,78.9,6,0.6,14.5,51.4,17,15.6,10.1,39,49.2,0,16.8,18.1,12.7,0.6,72.9,12,1.8,47.1,52.9
