"unique_id","price_paid","property_type","new_build","estate_type","oseast1m","osnrth1m"
"483BEADE-2888-4166-B99D-D54425EED585",592500,"F","N","L",525892,177904
"947CDBD0-3006-4F72-BD88-DF57558629DD",762500,"F","N","L",525892,177904
"0D6958F8-34DB-47CE-9AD0-9D098656B6F5",670000,"F","N","L",525892,177904
"F9C78748-6AD1-46DD-AB0A-9EAF2A8C4E20",294000,"F","N","L",525809,177954
"7A46F565-725B-49C5-8BD7-04DF39F08029",430000,"F","N","L",525809,177954
"766A7F13-22B0-4FAD-B0CF-F12030C3AA67",575000,"F","N","L",525809,177954
"63842793-2BE2-44DE-9A3B-6C2794177FD5",455000,"F","N","L",525809,177954
"905CD056-56B2-42A9-B598-6919C0667E2C",880000,"F","N","L",525724,177955
"EA1D1D5D-09BF-4F62-8A4C-804E1F914F50",1605000,"T","N","F",525697,178090
"A383FBCF-F944-43E4-9B9C-A56206C63DB4",765000,"F","N","L",525803,177910
"6339FDA9-2CB8-4C61-86EB-8956DE1F9C86",360000,"F","N","L",525803,177910
"F2FFF4F4-7A3C-48FE-AAC7-EC84D1908191",328000,"T","N","L",525803,177910
"E25A5533-F63A-4835-8390-D19715442F04",425000,"F","N","L",525803,177910
"8AD498DA-5527-4ED5-A0F2-0B404F3F2250",368000,"F","N","L",525803,177910
"00D4D08E-82BA-49AA-81EC-5AD77497C07B",935000,"F","N","L",525971,177735
"CBAC232B-92B1-4E58-A280-62D3D85C29E1",550000,"F","N","L",525971,177735
"045D521F-63F3-4D3A-B8D3-9BBF3B6EB8FB",349950,"F","N","L",526024,177669
"073F0D59-6C36-42B6-844C-65751A031E8D",361289,"F","N","L",526024,177669
"2B1CA1D9-21AF-46CE-BA35-81E2EF214A46",370000,"F","N","L",526024,177669
"2FF61A62-A1CE-4466-B96F-BC25B788AF98",442500,"F","N","L",526024,177669
"140A9E9A-B3DD-423D-8327-7E3E9CE78290",575000,"F","N","L",526024,177669
"9199E886-0D1D-4F04-8167-65A2E58C48FD",175000,"F","N","L",526024,177669
"876CBEF1-08C4-4CAD-818E-AF12A688ED01",545000,"F","N","L",526119,177711
"35A65C57-28C7-4204-9A5B-C6919F7CA2A8",400000,"F","N","L",526119,177711
"845519B5-5C3A-473E-929E-528404C82C3F",750000,"F","N","L",526119,177711
"0BE59788-0C76-410B-9C62-3582053DFC09",447000,"F","N","L",526085,177752
"36F05A35-465F-47E6-A6AA-3704C20988DF",325000,"F","N","L",526085,177752
"2F98D4DA-609B-49E4-A426-8B69AF729C6A",635000,"F","N","L",526085,177752
"5DED6094-6C43-4798-A3C9-67733F26356D",510000,"F","N","L",526059,177737
"443F59B5-9100-42B4-B8B9-FC8AF5660824",2950000,"T","N","F",526259,177864
"403F0219-3818-4409-80E7-35D5AE905731",2800000,"T","N","F",526259,177864
"F525FA31-B846-413C-9D6B-A28CB62EECBA",2875000,"T","N","F",526259,177864
"F3149752-4A48-4632-987F-D3FBCAA8BC0F",925000,"F","N","L",526041,177802
"2A289E9F-1EB1-CDC8-E050-A8C063054829",650000,"F","N","L",526041,177802
"A4CDEA0A-3326-411A-865F-C923DA004CBE",875000,"F","N","L",526041,177802
"EEB89739-2A5B-417D-9DB9-29EDB29E299C",1600000,"F","N","L",525936,177932
"A9EE9D58-9F49-4035-A464-8291EEE29672",925000,"S","N","L",525888,178007
"14A956F9-3C33-4D42-8776-FC3A4FDA286E",915000,"F","N","L",525888,178007
"338D8980-62A1-4816-87E9-8DB7114C27FE",500000,"F","N","L",525888,178007
"625280B8-6024-4060-AF51-6EBEC13CD781",695000,"F","N","L",525888,178007
"3D7C1F1B-D0A2-4121-8829-086FC1147EDA",950000,"F","N","L",525888,178007
"FEF6E1A8-C3F5-4447-B098-41F3AE309705",1195000,"F","N","L",525786,178005
"B7C00A95-CA57-465E-A995-51208C5C741B",780000,"F","N","L",525786,178005
"FB2A7B63-CDEC-4228-9323-DD7A9DA9C831",715000,"F","N","L",525786,178005
"D6019DA7-2ECD-434A-889B-36E4BD59D430",450000,"F","N","L",525755,178204
"2B5E999D-AAD1-410C-A188-0D4D317B1E05",485000,"F","N","L",525755,178204
"DC6E86EA-20F6-4239-8432-D94D614A7521",390000,"F","N","L",525935,177870
"31BA4486-349C-4AB5-B08F-CF98C07993BF",83100,"F","N","L",526278,177812
"059C3A09-A5C1-409D-B2D1-50973D8A23C2",575000,"F","N","L",526161,177855
"7F85E2CC-8359-4A4E-9D78-CB6E68B1C824",1175000,"F","N","L",526161,177855
"36B1349D-6113-4F42-865D-B5BE812957C7",543000,"F","N","L",525775,178138
"F22E0D61-D6D7-4C37-B446-02F9746E7F54",1275000,"F","N","L",525775,178138
"1C1BB296-B6FC-4BDC-BF62-4969F64A9FA7",650000,"F","N","L",526177,177871
"F2127705-6B63-4F9E-AEBD-C2CA142D55B0",765000,"F","N","L",526177,177871
"194019B6-F8CB-45A5-9A7F-CFA75A2035B5",1470000,"T","N","F",526187,177930
"A18EE0A5-BCAB-44E8-82AD-DA24C7FE285C",1800000,"F","N","L",526161,177830
"6D210355-3392-427C-8F5F-73C7C3D626D2",625000,"F","N","L",526135,177874
"190D7965-C9B4-4E87-89B5-61DF186BB34E",2445540,"F","N","F",526116,177891
"D25EB290-FEF9-4077-A025-B58301EE7C17",615000,"F","N","L",526116,177909
"5AC02848-332B-459B-AB98-62AA08728672",812000,"F","N","L",525932,178024
"94EBAA62-995A-4980-B971-DC7736B13126",385000,"F","N","L",525932,178024
"B3589B09-C34C-4676-80F1-3032ED3201C7",895000,"F","N","L",525932,178024
"3C8732BF-21F3-4B7F-9EF6-D4DD594D8AAF",605000,"F","N","L",525932,178024
"E775073A-BE39-4FCD-9231-0632FBD5CBCA",600000,"F","N","L",526012,178091
"015C3901-6E2A-460A-A85F-0C806E1EAE24",650000,"F","N","L",526012,178091
"018933C8-F7E7-4022-AABE-D1493670C438",770000,"F","N","L",526012,178091
"3B99FED7-9475-4235-ACD7-421E005AD3D1",700000,"F","N","L",526012,178091
"38E5DFE4-7AA6-4595-BCD3-3B69683A8E8A",790000,"F","N","L",526012,178091
"15A7C339-F169-4432-A0CC-F68F362D8240",685000,"F","N","L",526012,178091
"FDFD7C27-844D-440A-BBF3-FF779257B75C",367500,"F","N","L",526075,177932
"00EE7FF4-C4E2-4470-BD8D-0C90B2145422",3450000,"T","N","F",526075,177932
"9409B03D-3B4C-4032-8248-C3F7579D1BE7",1416000,"F","N","L",525966,178066
"4C29F96E-D687-4FD7-8F1E-70198D3F9429",750000,"F","N","L",525966,178066
"F9C369E2-1327-48CB-B76F-AFC2D282AF03",725137,"F","N","L",525966,178066
"F33CA82C-29D1-4781-AD9B-1460F2241C8A",765000,"F","N","L",525966,178066
"AB3F2575-8308-4FB6-AF4D-26E59CFBB52E",1150000,"F","N","L",525966,178066
"125161D6-7814-4216-9ADE-96AB41F7501C",959000,"F","N","L",525966,178066
"72A7ACD2-83CD-48DE-A29D-2B3260730D6F",1450000,"T","N","L",525967,178041
"1EFFB8B5-3472-4A95-A2AE-2792F06704BF",1125000,"F","N","L",525967,178041
"8EFFBAB0-BA30-4CE4-81A3-9F9347F790FD",650000,"F","N","L",525967,178041
"2A16808A-F12B-421E-A455-52E1748DD5DA",735000,"F","N","L",525906,178085
"2D0C02E5-D737-43F2-A414-B39AFAE554DC",1000000,"F","N","L",525906,178085
"E65BA338-BAF2-41D1-9276-6A38AB8F63E9",1580000,"F","N","L",525906,178085
"43F6CD65-20C1-4110-86C8-9E4641CB98F0",1700000,"F","N","L",525835,178185
"A7AE8109-1517-47BF-B04B-ADE720545A5B",1927000,"F","N","L",525835,178185
"C7011088-292A-4BB3-98DF-462C6F60D6AF",825000,"F","N","L",525835,178185
"BA3C1041-9862-49E8-BE01-1B57C9D97A30",545000,"F","N","L",525835,178185
"8AB86046-3319-47B0-BD6D-920AD9CC85EE",1525000,"F","N","L",525934,178174
"0FBB32B0-A360-4528-93DD-B9D427F332AB",975000,"F","N","L",525934,178174
"55665850-9C84-42AE-B63A-0CDDF5707D51",712500,"F","N","L",525934,178174
"913D773B-CC7E-4B1D-BF67-F04932419C4E",757500,"F","N","L",525934,178174
"055D57BC-CD0D-4730-B412-9F1CF1937B53",815000,"F","N","L",525934,178174
"66D02F16-3366-473B-84B8-79902AE64103",965000,"F","N","L",525934,178174
"61947B50-597D-4E97-A21E-0420421F040C",2920000,"F","N","L",525973,178135
"888E913D-0160-4C29-B74E-438CE6CD2477",660000,"F","N","L",525973,178135
"8B26EED1-6BA3-41A9-B13F-8CC65A4B02E3",1250000,"F","N","L",525987,177946
"C8C91E02-E27E-4D3E-8F27-CD46C3C53AB7",675000,"F","N","L",526173,177972
"257F99DB-5464-4176-BC7C-3D48063660C8",2000850,"F","N","L",526074,178042
"2A289E9F-1565-CDC8-E050-A8C063054829",1600000,"F","N","L",526074,178042
